Inv	Date	BL	Demurrage 	VAT
2100662	02/12/2024	S325686187	540465	40534
2100663	02/12/2024	S325686184	540465	40534
2101709	09/12/2024	S326238056	          914,400.00 	0
2101790	09/12/2024	S325347767	          660,465.00 	49534
2101808	09/12/2024	S325588787	          990,697.00 	74302
2101897	10/12/2024	S326304466	            94,511.00 	7088
2102005	10/12/2024	S326289687	          230,883.00 	17316
2102072	10/12/2024	S326343007	          354,418.00 	26581
2102193	11/12/2024	S326344974	            93,023.00 	6976
2102355	11/12/2024	S326524813	          158,139.00 	11860
2102447	12/12/2024	S326222841	          946,046.00 	70953
2104512	19/12/2024	S326420211	          280,558.00 	21041
2104803	20/12/2024	S326394373	      1,138,604.00 	85395
2105079	23/12/2024	S326604175	            94,883.00 	7116
2105130	24/12/2024	S320853690	          186,046.00 	13953
2105332	24/12/2024	S326604249	            94,883.00 	7116
2105740	30/12/2024	S319979407	          186,046.00 	13953
2105815	30/12/2024	S326499685	            93,023.00 	6976
2105822	30/12/2024	S326637711	          253,023.00 	18976
2105857	30/12/2024	S326247761	      1,411,162.00 	105837
2105900	30/12/2024	S318661298	            93,023.00 	6976
2105905	30/12/2024	S326535983	          189,023.00 	14176
