Service,Voyage,Booking Number,Cntr Number,VGM Y/N
CENTRAL EXPRESS,GTT0924,S3-26743010,GCNU4784541,N
CENTRAL EXPRESS,GTT0924,S3-26799990,ACLU9777264,N
CENTRAL EXPRESS,GTT0924,S3-26803179,GCNU1401612,N
CENTRAL EXPRESS,GTT0924,S3-26803194,ACLU9687371,N
CENTRAL EXPRESS,GTT0924,S3-26745287,ACLU9739789,N
CENTRAL EXPRESS,GTT0924,S3-26745287,ACLU9816993,N
CENTRAL EXPRESS,GTT0924,S3-26749025,GCNU4730139,N
CENTRAL EXPRESS,GTT0924,S3-26749025,ACLU9731047,N
CENTRAL EXPRESS,GTT0924,S3-26790839,GCNU4794072,N
CENTRAL EXPRESS,GTT0924,S3-26790839,GCNU4802352,N
CENTRAL EXPRESS,GTT0924,S3-26790839,GCNU4776572,N
CENTRAL EXPRESS,GTT0924,S3-26790839,ACLU9668643,N
CENTRAL EXPRESS,GTT0924,S3-26800035,ACLU9765685,N
CENTRAL EXPRESS,GTT0924,S3-26800035,ACLU9685168,N
CENTRAL EXPRESS,GTT0924,S3-26800035,GCNU4797549,N
CENTRAL EXPRESS,GTT0924,S3-26800035,GCNU4798376,N
CENTRAL EXPRESS,GTT0924,S3-26800035,ACLU9805746,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1395926,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1404864,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1403575,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1364648,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1398822,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1359678,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1292194,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1284563,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1307695,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1387577,N
CENTRAL EXPRESS,GTT0924,S3-26809869,ACLU9774326,N
CENTRAL EXPRESS,GTT0924,S3-26809869,ACLU9817860,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1335629,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1343985,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1354716,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1340245,N
CENTRAL EXPRESS,GTT0924,S3-26786459,GCNU1397472,N
CENTRAL EXPRESS,GTT0924,S3-26786583,GCNU1396959,N
CENTRAL EXPRESS,GTT0924,S3-26786583,GCNU1421481,N
CENTRAL EXPRESS,GTT0924,S3-26185840,GCNU4768941,N
CENTRAL EXPRESS,GTT0924,S3-26185840,ACLU9770001,N
CENTRAL EXPRESS,GTT0924,S3-26185840,GCNU4765583,N
CENTRAL EXPRESS,GTT0924,S3-26185840,ACLU9799535,N
CENTRAL EXPRESS,GTT0924,S3-26792320,ACLU9723226,N
CENTRAL EXPRESS,GTT0924,S3-26799749,ACLU9744785,N
CENTRAL EXPRESS,GTT0924,S3-26804576,ACLU9826440,N
CENTRAL EXPRESS,GTT0924,S3-26807007,ACLU2799750,N
CENTRAL EXPRESS,GTT0924,S3-25036481,GCNU1315392,N
CENTRAL EXPRESS,GTT0924,S3-26802176,ACLU9705752,N
CENTRAL EXPRESS,GTT0924,S3-26802974,GCNU4819186,N
CENTRAL EXPRESS,GTT0924,S3-26804445,GCNU1375745,N
CENTRAL EXPRESS,GTT0924,S3-26804462,GCNU1303128,N
